Key	Type	Desc	English	German	Japanese	Korean	Spanish	Chinese (Simplified)	Thai
15bit	Text	 [new]	15-bit	15-Bit	15ビット	15비트	15 bits	15 位色	15-bit
15bitDither	Text	 [new]	15-bit (Dither)	15-Bit (Dither)	15ビット（ディザ）	15비트(디더링)	15 bits (dither)	15 位色（抖色）	15-bit (ไล่เฉด)
24bit	Text	 [new]	24-bit	24-Bit	24ビット	24비트	24 bits	24 位色	24-bit
AcceptEula	Text	 [new]	I accept the end-user license agreement	Ich stimme der Endnutzer-Lizenzvereinbarung zu	エンドユーザー使用許諾契約に同意します	최종 사용자 라이선스 계약에 동의합니다	Acepto el acuerdo de licencia del usuario final	我接受《最终用户许可协议》	ฉันยอมรับข้อตกลงใบอนุญาตใช้งานสำหรับผู้ใช้
Achievements/CatchStarlightNautilus	Text	 [new]	Legendary Fossil	Legendäres Fossil	伝説の化石	전설 화석	Fósil legendario	传奇化石	ฟอสซิลในตำนาน
Achievements/CherryBlossomTrees	Text	 [new]	5 Centimeters Per Second	5 Zentimeter pro Sekunde	秒速5センチメートル	초당 5cm	5 centímetros por segundo	秒速 5 厘米	5 เซนติเมตรต่อวินาที
Achievements/DefeatAtlanteanWorm	Text	 [new]	Thalassophobia	Thalassophobie	海洋恐怖症	심해공포증	Talasofobia	深海恐惧症	โรคกลัวทะเล
Achievements/DefeatAzeos	Text	 [new]	From the Skies!	Vom Himmel herab!	天空より舞い降りる！	하늘에서!	¡Desde el cielo!	云霄来客！	จากบนฟ้า!
Achievements/DefeatCoreCommander	Text	 [new]	Visitor From A Dying World	Abgesandter einer sterbenden Welt	死にゆく世界からの訪問者	죽어가는 세계에서 온 방문자	Visitante de un mundo moribundo	来自濒死世界的访客	ผู้มาเยือนจากโลกใกล้ดับสูญ
Achievements/DefeatCrydra	Text	 [new]	Howl of the Sea	Das Heulen des Meeres	海の悲鳴	바다의 함성	Aullido del mar	海的咆哮	เสียงโหยหวนของท้องทะเล
Achievements/DefeatDruidra	Text	 [new]	Song of the Woods	Das Lied des Waldes	森の歌声	숲의 노래	Canción de los bosques	森林之歌	บทเพลงแห่งพงไพร
Achievements/DefeatGhorm	Text	 [new]	Bugging Out	Davongekrabbelt	害虫駆除業者	벌레 퇴치	Antiplagas	防虫有道	ตะขาบเผ่น
Achievements/DefeatGlurch	Text	 [new]	A Slimey Encounter	Eine schleimige Begegnung	ヌルヌルした出会い	끈적한 맞닥트림	Un encuentro baboso	黏黏有余	การเผชิญหน้าเหนียวหนืด
Achievements/DefeatHivemother	Text	 [new]	Watch Your Step	Pass auf, wohin du trittst	足元にご注意	발 밑 주의	Ojo con dónde pisas	小心脚下	ระวังทุกย่างก้าว
Achievements/DefeatIgneous	Text	 [new]	Burning Through	Durchgebrannt	真っ白に燃え尽きて	깊숙히 불타오르다	Al rojo vivo	烈火焚身	มอดดับอย่างรวดเร็ว
Achievements/DefeatIvy	Text	 [new]	Toxic Personality	Toxischer Charakter	毒の魅力	유독한 성격	Personalidad tóxica	这人有毒	นิสัยเป็นพิษ
Achievements/DefeatKingSlime	Text	 [new]	Slippery Shinobi	Schlüpfriger Shinobi	ヌルっと忍んで	미끄러운 시노비	Shinobi escurridizo	滑溜忍者	นินจาตัวพลิ้ว
Achievements/DefeatMalugaz	Text	 [new]	You're a Wizard	Du bist ein Zauberer	おまえは魔法使いだ	마법사시네	Eres mago	你是个巫师	พ่อมดตัวจริง
Achievements/DefeatMorpha	Text	 [new]	Slippery When Wet	Vorsicht, Rutschgefahr	ぬれるとツルツル	축축하니 미끄럽다	Humedad resbaladiza	湿滑警告	ลื่นเมื่อเปียก
